Register Name,Register Description,Register Address,Register Width,Register Access,Register Reset Value,Register Constraints,Register Custom Type,Field Name,Field Description,Field Offset,Field Width,Field Access,Field Reset Value,Field is Covered,Field is Reserved,Field is Volatile,Field Constraints
motor_speed,Motor speed,0x0,16,RW,0x100,,,,,,,,,,FALSE,,
park,PMD901 park,0x2,16,RW,0x0,,,reserved,,1,15,RO,,FALSE,TRUE,,
park,,,,,,,,enable,,0,1,RW,,TRUE,FALSE,,
bending,PMD901 bending,0x4,16,RW,0x0,,,reserved,,1,15,RO,,FALSE,TRUE,,
bending,,,,,,,,bending,,0,1,RW,,TRUE,FALSE,,
fan,1 - close to overheat,0x6,16,RW,0x0,,,reserved,,1,15,RO,,FALSE,TRUE,,
fan,,,,,,,,close2overheat,,0,1,RO,,TRUE,FALSE,,
fault,1 - motor error,0x8,16,RW,0x0,,,reserved,,1,15,RO,,FALSE,TRUE,,
fault,,,,,,,,motor_error,,0,1,RO,,TRUE,FALSE,,
ready,1 - overheat,0xa,16,RW,0x0,,,reserved,,1,15,RO,,FALSE,TRUE,,
ready,,,,,,,,overheat,,0,1,RO,,TRUE,FALSE,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
